"","Dia","Semana","Mes","Clase","Cantidad_real","Cantidad_Predicha","Grupo_pro"
"330",NA,3,NA,"choque",535,550,"Semanal"
"331",NA,3,NA,"incendio",100,130,"Semanal"
"332",NA,3,NA,"otro",27,28,"Semanal"
"333",NA,4,NA,"atropello",64,71,"Semanal"
"334",NA,4,NA,"caida_ocupante",66,72,"Semanal"
"335",NA,4,NA,"choque",527,538,"Semanal"
"336",NA,4,NA,"incendio",74,84,"Semanal"
"337",NA,4,NA,"otro",11,20,"Semanal"
"338",NA,5,NA,"atropello",65,66,"Semanal"
"339",NA,5,NA,"caida_ocupante",68,79,"Semanal"
"340",NA,5,NA,"choque",535,604,"Semanal"
"341",NA,5,NA,"incendio",58,57,"Semanal"
"342",NA,5,NA,"otro",19,14,"Semanal"
"343",NA,6,NA,"atropello",66,99,"Semanal"
"344",NA,6,NA,"caida_ocupante",60,60,"Semanal"
"345",NA,6,NA,"choque",575,587,"Semanal"
"346",NA,6,NA,"incendio",57,72,"Semanal"
"347",NA,6,NA,"otro",17,16,"Semanal"
"348",NA,7,NA,"atropello",73,85,"Semanal"
"349",NA,7,NA,"caida_ocupante",74,80,"Semanal"
"350",NA,7,NA,"choque",613,676,"Semanal"
"351",NA,7,NA,"incendio",90,133,"Semanal"
"352",NA,7,NA,"otro",37,21,"Semanal"
"353",NA,8,NA,"atropello",63,66,"Semanal"
"354",NA,8,NA,"caida_ocupante",77,107,"Semanal"
"355",NA,8,NA,"choque",578,616,"Semanal"
"356",NA,8,NA,"incendio",68,76,"Semanal"
"357",NA,8,NA,"otro",23,8,"Semanal"
"358",NA,9,NA,"atropello",70,87,"Semanal"
"359",NA,9,NA,"caida_ocupante",71,82,"Semanal"
"360",NA,9,NA,"choque",564,597,"Semanal"
"361",NA,9,NA,"incendio",60,82,"Semanal"
"362",NA,9,NA,"otro",22,14,"Semanal"
"363",NA,10,NA,"atropello",75,70,"Semanal"
"364",NA,10,NA,"caida_ocupante",97,129,"Semanal"
"365",NA,10,NA,"choque",520,521,"Semanal"
"366",NA,10,NA,"incendio",67,74,"Semanal"
"367",NA,10,NA,"otro",10,15,"Semanal"
"368",NA,11,NA,"atropello",82,90,"Semanal"
"369",NA,11,NA,"caida_ocupante",103,91,"Semanal"
"370",NA,11,NA,"choque",535,499,"Semanal"
"371",NA,11,NA,"incendio",85,91,"Semanal"
"372",NA,11,NA,"otro",23,26,"Semanal"
"373",NA,12,NA,"atropello",56,42,"Semanal"
"374",NA,12,NA,"caida_ocupante",83,68,"Semanal"
"375",NA,12,NA,"choque",524,501,"Semanal"
"376",NA,12,NA,"incendio",76,84,"Semanal"
"377",NA,12,NA,"otro",17,12,"Semanal"
"378",NA,13,NA,"atropello",53,35,"Semanal"
"379",NA,13,NA,"caida_ocupante",66,50,"Semanal"
"380",NA,13,NA,"choque",380,404,"Semanal"
"381",NA,13,NA,"incendio",57,70,"Semanal"
"382",NA,13,NA,"otro",20,16,"Semanal"
"383",NA,14,NA,"atropello",78,57,"Semanal"
"384",NA,14,NA,"caida_ocupante",69,86,"Semanal"
"385",NA,14,NA,"choque",591,558,"Semanal"
"386",NA,14,NA,"incendio",74,79,"Semanal"
"387",NA,14,NA,"otro",17,17,"Semanal"
"388",NA,15,NA,"atropello",71,45,"Semanal"
"389",NA,15,NA,"caida_ocupante",87,114,"Semanal"
"390",NA,15,NA,"choque",533,525,"Semanal"
"391",NA,15,NA,"incendio",74,93,"Semanal"
"392",NA,15,NA,"otro",24,25,"Semanal"
"393",NA,16,NA,"atropello",82,93,"Semanal"
"394",NA,16,NA,"caida_ocupante",72,60,"Semanal"
"395",NA,16,NA,"choque",551,554,"Semanal"
"396",NA,16,NA,"incendio",55,53,"Semanal"
"397",NA,16,NA,"otro",25,16,"Semanal"
"398",NA,17,NA,"atropello",67,69,"Semanal"
"399",NA,17,NA,"caida_ocupante",66,64,"Semanal"
"400",NA,17,NA,"choque",557,570,"Semanal"
"401",NA,17,NA,"incendio",80,91,"Semanal"
"402",NA,17,NA,"otro",23,23,"Semanal"
"403",NA,18,NA,"atropello",75,68,"Semanal"
"404",NA,18,NA,"caida_ocupante",84,42,"Semanal"
"405",NA,18,NA,"choque",467,438,"Semanal"
"406",NA,18,NA,"incendio",90,94,"Semanal"
"407",NA,18,NA,"otro",15,7,"Semanal"
"408",NA,19,NA,"atropello",68,52,"Semanal"
"409",NA,19,NA,"caida_ocupante",92,115,"Semanal"
"410",NA,19,NA,"choque",577,599,"Semanal"
"411",NA,19,NA,"incendio",83,84,"Semanal"
"412",NA,19,NA,"otro",26,19,"Semanal"
"413",NA,20,NA,"atropello",68,66,"Semanal"
"414",NA,20,NA,"caida_ocupante",54,49,"Semanal"
"415",NA,20,NA,"choque",532,575,"Semanal"
"416",NA,20,NA,"incendio",66,64,"Semanal"
"417",NA,20,NA,"otro",26,20,"Semanal"
"418",NA,21,NA,"atropello",70,61,"Semanal"
"419",NA,21,NA,"caida_ocupante",84,75,"Semanal"
"420",NA,21,NA,"choque",598,673,"Semanal"
"421",NA,21,NA,"incendio",70,74,"Semanal"
"422",NA,21,NA,"otro",26,22,"Semanal"
"423",NA,22,NA,"atropello",65,46,"Semanal"
"424",NA,22,NA,"caida_ocupante",71,75,"Semanal"
"425",NA,22,NA,"choque",548,461,"Semanal"
"426",NA,22,NA,"incendio",87,81,"Semanal"
"427",NA,22,NA,"otro",31,29,"Semanal"
"428",NA,23,NA,"atropello",76,56,"Semanal"
"429",NA,23,NA,"caida_ocupante",56,54,"Semanal"
"430",NA,23,NA,"choque",503,461,"Semanal"
"431",NA,23,NA,"incendio",84,69,"Semanal"
"432",NA,23,NA,"otro",18,26,"Semanal"
"433",NA,24,NA,"atropello",77,84,"Semanal"
"434",NA,24,NA,"caida_ocupante",83,82,"Semanal"
"435",NA,24,NA,"choque",507,442,"Semanal"
"436",NA,24,NA,"incendio",72,91,"Semanal"
"437",NA,24,NA,"otro",27,20,"Semanal"
"438",NA,25,NA,"atropello",83,73,"Semanal"
"439",NA,25,NA,"caida_ocupante",64,52,"Semanal"
"440",NA,25,NA,"choque",559,571,"Semanal"
"441",NA,25,NA,"incendio",70,68,"Semanal"
"442",NA,25,NA,"otro",22,6,"Semanal"
"443",NA,26,NA,"atropello",59,68,"Semanal"
"444",NA,26,NA,"caida_ocupante",71,94,"Semanal"
"445",NA,26,NA,"choque",470,488,"Semanal"
"446",NA,26,NA,"incendio",87,109,"Semanal"
"447",NA,26,NA,"otro",19,7,"Semanal"
"448",NA,27,NA,"atropello",76,60,"Semanal"
"449",NA,27,NA,"caida_ocupante",54,39,"Semanal"
"450",NA,27,NA,"choque",434,368,"Semanal"
"451",NA,27,NA,"incendio",73,61,"Semanal"
"452",NA,27,NA,"otro",26,11,"Semanal"
"453",NA,28,NA,"atropello",68,67,"Semanal"
"454",NA,28,NA,"caida_ocupante",55,40,"Semanal"
"455",NA,28,NA,"choque",551,558,"Semanal"
"456",NA,28,NA,"incendio",73,86,"Semanal"
"457",NA,28,NA,"otro",12,3,"Semanal"
"458",NA,29,NA,"atropello",64,67,"Semanal"
"459",NA,29,NA,"caida_ocupante",80,72,"Semanal"
"460",NA,29,NA,"choque",542,444,"Semanal"
"461",NA,29,NA,"incendio",79,71,"Semanal"
"462",NA,29,NA,"otro",28,34,"Semanal"
"463",NA,30,NA,"atropello",67,72,"Semanal"
"464",NA,30,NA,"caida_ocupante",99,144,"Semanal"
"465",NA,30,NA,"choque",537,554,"Semanal"
"466",NA,30,NA,"incendio",81,110,"Semanal"
"467",NA,30,NA,"otro",29,20,"Semanal"
"468",NA,31,NA,"atropello",84,71,"Semanal"
"469",NA,31,NA,"caida_ocupante",79,66,"Semanal"
"470",NA,31,NA,"choque",569,597,"Semanal"
"471",NA,31,NA,"incendio",72,72,"Semanal"
"472",NA,31,NA,"otro",26,32,"Semanal"
"473",NA,32,NA,"atropello",71,66,"Semanal"
"474",NA,32,NA,"caida_ocupante",65,55,"Semanal"
"475",NA,32,NA,"choque",565,504,"Semanal"
"476",NA,32,NA,"incendio",70,70,"Semanal"
"477",NA,32,NA,"otro",15,2,"Semanal"
"478",NA,33,NA,"atropello",68,65,"Semanal"
"479",NA,33,NA,"caida_ocupante",95,75,"Semanal"
"480",NA,33,NA,"choque",595,609,"Semanal"
"481",NA,33,NA,"incendio",72,62,"Semanal"
"482",NA,33,NA,"otro",15,4,"Semanal"
"483",NA,34,NA,"atropello",65,57,"Semanal"
"484",NA,34,NA,"caida_ocupante",71,71,"Semanal"
"485",NA,34,NA,"choque",544,537,"Semanal"
"486",NA,34,NA,"incendio",71,77,"Semanal"
"487",NA,34,NA,"otro",18,3,"Semanal"
"488",NA,35,NA,"atropello",75,77,"Semanal"
"489",NA,35,NA,"caida_ocupante",72,72,"Semanal"
"490",NA,35,NA,"choque",549,575,"Semanal"
"491",NA,35,NA,"incendio",71,78,"Semanal"
"492",NA,35,NA,"otro",23,25,"Semanal"
"493",NA,36,NA,"atropello",74,85,"Semanal"
"494",NA,36,NA,"caida_ocupante",76,83,"Semanal"
"495",NA,36,NA,"choque",590,564,"Semanal"
"496",NA,36,NA,"incendio",81,85,"Semanal"
"497",NA,36,NA,"otro",18,5,"Semanal"
"498",NA,37,NA,"atropello",69,65,"Semanal"
"499",NA,37,NA,"caida_ocupante",71,54,"Semanal"
"500",NA,37,NA,"choque",549,566,"Semanal"
"501",NA,37,NA,"incendio",73,44,"Semanal"
"502",NA,37,NA,"otro",26,1,"Semanal"
"503",NA,38,NA,"atropello",86,93,"Semanal"
"504",NA,38,NA,"caida_ocupante",67,45,"Semanal"
"505",NA,38,NA,"choque",572,579,"Semanal"
"506",NA,38,NA,"incendio",54,45,"Semanal"
"507",NA,38,NA,"otro",19,14,"Semanal"
"508",NA,39,NA,"atropello",62,26,"Semanal"
"509",NA,39,NA,"caida_ocupante",37,24,"Semanal"
"510",NA,39,NA,"choque",615,623,"Semanal"
"511",NA,39,NA,"incendio",95,104,"Semanal"
"512",NA,39,NA,"otro",35,42,"Semanal"
"513",NA,40,NA,"atropello",67,42,"Semanal"
"514",NA,40,NA,"caida_ocupante",72,77,"Semanal"
"515",NA,40,NA,"choque",573,512,"Semanal"
"516",NA,40,NA,"incendio",58,64,"Semanal"
"517",NA,40,NA,"otro",45,43,"Semanal"
"518",NA,41,NA,"atropello",68,48,"Semanal"
"519",NA,41,NA,"caida_ocupante",61,64,"Semanal"
"520",NA,41,NA,"choque",553,533,"Semanal"
"521",NA,41,NA,"incendio",64,61,"Semanal"
"522",NA,41,NA,"otro",27,19,"Semanal"
"523",NA,42,NA,"atropello",58,43,"Semanal"
"524",NA,42,NA,"caida_ocupante",78,62,"Semanal"
"525",NA,42,NA,"choque",506,474,"Semanal"
"526",NA,42,NA,"incendio",59,49,"Semanal"
"527",NA,42,NA,"otro",16,0,"Semanal"
"528",NA,43,NA,"atropello",81,39,"Semanal"
"529",NA,43,NA,"caida_ocupante",64,59,"Semanal"
"530",NA,43,NA,"choque",536,528,"Semanal"
"531",NA,43,NA,"incendio",74,89,"Semanal"
"532",NA,43,NA,"otro",22,25,"Semanal"
"533",NA,44,NA,"atropello",69,42,"Semanal"
"534",NA,44,NA,"caida_ocupante",70,49,"Semanal"
"535",NA,44,NA,"choque",628,619,"Semanal"
"536",NA,44,NA,"incendio",103,130,"Semanal"
"537",NA,44,NA,"otro",27,12,"Semanal"
"538",NA,45,NA,"atropello",61,42,"Semanal"
"539",NA,45,NA,"caida_ocupante",45,49,"Semanal"
"540",NA,45,NA,"choque",537,548,"Semanal"
"541",NA,45,NA,"incendio",45,42,"Semanal"
"542",NA,45,NA,"otro",25,2,"Semanal"
"543",NA,46,NA,"atropello",71,68,"Semanal"
"544",NA,46,NA,"caida_ocupante",51,29,"Semanal"
"545",NA,46,NA,"choque",597,577,"Semanal"
"546",NA,46,NA,"incendio",41,37,"Semanal"
"547",NA,46,NA,"otro",19,0,"Semanal"
"548",NA,47,NA,"atropello",66,67,"Semanal"
"549",NA,47,NA,"caida_ocupante",69,74,"Semanal"
"550",NA,47,NA,"choque",591,571,"Semanal"
"551",NA,47,NA,"incendio",63,77,"Semanal"
"552",NA,47,NA,"otro",22,9,"Semanal"
"553",NA,48,NA,"atropello",53,33,"Semanal"
"554",NA,48,NA,"caida_ocupante",66,68,"Semanal"
"555",NA,48,NA,"choque",481,428,"Semanal"
"556",NA,48,NA,"incendio",77,89,"Semanal"
"557",NA,48,NA,"otro",24,6,"Semanal"
"558",NA,49,NA,"atropello",67,72,"Semanal"
"559",NA,49,NA,"caida_ocupante",56,74,"Semanal"
"560",NA,49,NA,"choque",614,586,"Semanal"
"561",NA,49,NA,"incendio",53,36,"Semanal"
"562",NA,49,NA,"otro",22,15,"Semanal"
"563",NA,50,NA,"atropello",70,51,"Semanal"
"564",NA,50,NA,"caida_ocupante",53,61,"Semanal"
"565",NA,50,NA,"choque",613,604,"Semanal"
"566",NA,50,NA,"incendio",70,98,"Semanal"
"567",NA,50,NA,"otro",30,33,"Semanal"
"568",NA,51,NA,"atropello",77,72,"Semanal"
"569",NA,51,NA,"caida_ocupante",59,61,"Semanal"
"570",NA,51,NA,"choque",597,492,"Semanal"
"571",NA,51,NA,"incendio",59,42,"Semanal"
"572",NA,51,NA,"otro",25,1,"Semanal"
"573",NA,52,NA,"atropello",80,45,"Semanal"
"574",NA,52,NA,"caida_ocupante",37,17,"Semanal"
"575",NA,52,NA,"choque",470,376,"Semanal"
"576",NA,52,NA,"incendio",55,30,"Semanal"
"577",NA,52,NA,"otro",20,5,"Semanal"
"578",NA,53,NA,"atropello",8,9,"Semanal"
"579",NA,53,NA,"caida_ocupante",6,2,"Semanal"
"580",NA,53,NA,"choque",50,50,"Semanal"
"581",NA,53,NA,"incendio",10,5,"Semanal"
"582",NA,53,NA,"otro",2,14,"Semanal"
"583",NA,1,NA,"atropello",45,38,"Semanal"
"584",NA,1,NA,"caida_ocupante",34,29,"Semanal"
"585",NA,1,NA,"choque",325,325,"Semanal"
"586",NA,1,NA,"otro",61,60,"Semanal"
"587",NA,1,NA,"volcamiento",16,12,"Semanal"
"588",NA,2,NA,"atropello",64,63,"Semanal"
"589",NA,2,NA,"caida_ocupante",80,101,"Semanal"
"590",NA,2,NA,"choque",412,357,"Semanal"
"591",NA,2,NA,"otro",49,46,"Semanal"
"592",NA,2,NA,"volcamiento",10,16,"Semanal"
"593",NA,3,NA,"atropello",58,44,"Semanal"
"594",NA,3,NA,"caida_ocupante",68,95,"Semanal"
"595",NA,3,NA,"choque",518,545,"Semanal"
"596",NA,3,NA,"otro",75,76,"Semanal"
"597",NA,3,NA,"volcamiento",21,29,"Semanal"
"598",NA,4,NA,"atropello",75,65,"Semanal"
"599",NA,4,NA,"caida_ocupante",58,26,"Semanal"
"600",NA,4,NA,"choque",557,547,"Semanal"
"601",NA,4,NA,"otro",76,66,"Semanal"
"602",NA,4,NA,"volcamiento",16,18,"Semanal"
"603",NA,5,NA,"atropello",75,77,"Semanal"
"604",NA,5,NA,"caida_ocupante",67,51,"Semanal"
"605",NA,5,NA,"choque",516,532,"Semanal"
"606",NA,5,NA,"otro",55,69,"Semanal"
"607",NA,5,NA,"volcamiento",17,31,"Semanal"
"608",NA,6,NA,"atropello",82,89,"Semanal"
"609",NA,6,NA,"caida_ocupante",47,53,"Semanal"
"610",NA,6,NA,"choque",546,516,"Semanal"
"611",NA,6,NA,"otro",49,63,"Semanal"
"612",NA,6,NA,"volcamiento",20,25,"Semanal"
"613",NA,7,NA,"atropello",64,78,"Semanal"
"614",NA,7,NA,"caida_ocupante",62,91,"Semanal"
"615",NA,7,NA,"choque",587,597,"Semanal"
"616",NA,7,NA,"otro",108,181,"Semanal"
"617",NA,7,NA,"volcamiento",29,28,"Semanal"
"618",NA,8,NA,"atropello",74,78,"Semanal"
"619",NA,8,NA,"caida_ocupante",69,98,"Semanal"
"620",NA,8,NA,"choque",518,576,"Semanal"
"621",NA,8,NA,"otro",83,82,"Semanal"
"622",NA,8,NA,"volcamiento",16,26,"Semanal"
"623",NA,9,NA,"atropello",81,98,"Semanal"
"624",NA,9,NA,"caida_ocupante",63,81,"Semanal"
"625",NA,9,NA,"choque",514,499,"Semanal"
"626",NA,9,NA,"otro",81,96,"Semanal"
"627",NA,9,NA,"volcamiento",21,14,"Semanal"
"628",NA,10,NA,"atropello",75,92,"Semanal"
"629",NA,10,NA,"caida_ocupante",54,53,"Semanal"
"630",NA,10,NA,"choque",515,429,"Semanal"
"631",NA,10,NA,"otro",52,43,"Semanal"
"632",NA,10,NA,"volcamiento",15,5,"Semanal"
"633",NA,11,NA,"atropello",84,71,"Semanal"
"634",NA,11,NA,"caida_ocupante",64,54,"Semanal"
"635",NA,11,NA,"choque",532,513,"Semanal"
"636",NA,11,NA,"otro",59,50,"Semanal"
"637",NA,11,NA,"volcamiento",21,22,"Semanal"
"638",NA,12,NA,"atropello",84,73,"Semanal"
"639",NA,12,NA,"caida_ocupante",58,43,"Semanal"
"640",NA,12,NA,"choque",490,467,"Semanal"
"641",NA,12,NA,"otro",54,40,"Semanal"
"642",NA,12,NA,"volcamiento",18,2,"Semanal"
"643",NA,13,NA,"atropello",56,43,"Semanal"
"644",NA,13,NA,"caida_ocupante",61,53,"Semanal"
"645",NA,13,NA,"choque",495,488,"Semanal"
"646",NA,13,NA,"otro",61,65,"Semanal"
"647",NA,13,NA,"volcamiento",17,9,"Semanal"
"648",NA,14,NA,"atropello",70,68,"Semanal"
"649",NA,14,NA,"caida_ocupante",74,75,"Semanal"
"650",NA,14,NA,"choque",591,563,"Semanal"
"651",NA,14,NA,"otro",80,81,"Semanal"
"652",NA,14,NA,"volcamiento",36,43,"Semanal"
"653",NA,15,NA,"atropello",85,82,"Semanal"
"654",NA,15,NA,"caida_ocupante",52,68,"Semanal"
"655",NA,15,NA,"choque",569,556,"Semanal"
"656",NA,15,NA,"otro",76,93,"Semanal"
"657",NA,15,NA,"volcamiento",23,35,"Semanal"
"658",NA,16,NA,"atropello",45,31,"Semanal"
